,sp,dw,sr,actual
0,58.986160146067654,79,73.11933369613473,71
1,59.226803252405595,70,73.2514336059418,66
2,59.11805638109701,53,73.15499335240429,61
3,59.20228162573705,68,73.26031149273442,61
4,59.49510799125312,82,73.50801095510907,58
5,58.92269974953067,77,72.94716123114392,68
6,58.95967894181832,83,72.87673298953949,60
7,58.89029390259949,60,72.85457948093585,63
8,58.85087809692721,81,72.87061735366653,79
9,59.04692957367183,65,73.14596186733242,48
10,59.22942815182561,63,73.19279456393487,48
11,58.93190166420798,74,72.93294301592812,70
12,59.05229463769746,64,73.12866920773854,67
13,59.41561984818234,79,73.45094750422484,57
14,58.99455518334118,75,73.06136097400066,64
15,59.1456990209315,67,73.263839594355,75
16,58.80695782590898,79,72.85565578154117,62
17,59.105920934768356,76,73.27164518056641,65
18,59.054262701362624,70,72.90759100567924,68
19,59.214968149073265,69,73.17304579676507,69
20,59.040750828295565,81,73.09287294491581,45
21,59.29345091382996,68,73.47364691400257,59
22,59.05681117215875,79,73.2678176796039,61
23,59.18053694450181,65,73.255730323868,64
24,59.23133192855775,69,73.35146682729744,53
25,59.41504877899293,75,73.60836935946494,53
26,58.80598469879942,83,72.92760426103763,66
27,59.11996707182071,91,73.23857025432437,55
28,59.23640811083046,67,73.4748738407353,56
29,59.08046567224936,70,73.3079524597538,66
30,59.02409729542599,74,73.17105748268155,66
31,59.11376755282053,73,73.26077219691905,76
32,59.188658012302675,76,73.25097746186768,75
33,58.84992273387835,79,72.86955101385527,62
34,59.19223600459951,97,73.22463408073685,51
35,58.92737690780423,92,72.92485473430514,57
36,58.91184564397373,87,72.97574258152994,65
37,58.98741857014556,78,73.03475762266673,59
38,59.11090535588924,80,73.0797073879351,70
39,58.991819041428414,71,73.00325760764548,61
40,59.221295687983826,71,73.24531078711811,57
41,59.12068207468543,79,73.06212367576389,71
42,59.292783893726885,71,73.33614309976407,68
43,59.034282763463565,68,73.1260728896753,63
44,58.727668646714754,63,72.76038529481367,60
45,59.24290652079325,59,73.31775488615908,67
46,59.008712466668754,80,73.12423823018861,61
47,59.13166238026909,69,73.24270205224713,74
48,59.16563667026571,75,73.34210809736192,56
49,58.99333918570452,71,72.95847394872497,52
50,59.043230655358954,75,73.08522572186688,60
51,59.1071780098288,74,73.16922102518275,66
52,58.89000562940009,80,72.93034819735553,69
53,59.0324821415684,61,73.21928132599632,48
54,59.24194361242094,89,73.2912485442641,46
55,59.00377467017948,73,73.03704886716585,60
56,59.211205067105844,64,73.43944828314466,63
57,59.3377041525285,87,73.45264100323594,58
58,59.04405082649493,71,73.0818528118928,62
59,59.09065765178914,82,73.2387233423129,66
60,59.09534884852965,68,73.16432035544875,61
61,58.99621729501508,90,72.99408313830726,49
62,58.99442291411223,78,73.05203602824281,80
63,58.942057403021394,62,73.04178570248409,56
64,59.18809971197471,76,73.28375357651842,58
65,58.968714007984815,78,73.05952338505249,68
66,59.11997253405343,62,73.2143787700215,69
67,59.08602121934791,65,72.99821164970564,69
68,59.083375442915546,73,73.16692346375811,57
69,59.146950288210945,46,73.2214294446077,55
70,59.07732237472671,76,73.17304430635863,51
71,59.172424315921,71,73.15330611305873,66
72,59.01422356024887,72,73.02420188360338,71
73,58.96366731483603,102,72.86222580022195,69
74,59.2621737498491,73,73.44865343465355,83
75,58.907577252295695,79,73.01044150587765,67
76,59.10966706696337,84,73.1309672120877,74
77,59.220023435943254,74,73.42565316166157,57
78,59.057933953961346,76,73.13004536568883,68
79,59.15782362897958,81,73.21759715016053,67
80,59.391611987853494,65,73.50248327047957,63
81,59.10373176598397,81,73.22386924026742,63
82,58.94453743720811,58,72.98582593207612,74
83,59.078717950198225,75,73.07023160438287,60
84,59.137166860133455,77,73.24791159732122,67
85,58.95911505328185,58,72.98522693738285,58
86,58.885195935882294,85,72.97054277446888,59
87,59.13636702833166,63,73.11138337494383,74
88,59.01930524062152,60,73.04576340759508,58
89,59.05600916927322,85,73.12086245418301,59
90,59.104263497573726,82,73.3421197348207,65
91,59.145596798311445,79,73.05095993708318,65
92,59.11749092967103,93,73.23489940412313,62
93,58.87943839270362,85,72.92928710457625,64
94,59.059588262987,65,73.12117197544086,70
95,59.01847052762706,63,73.13203890377575,70
96,59.04334402538765,91,73.20044515240656,78
97,58.930933214303174,60,73.02971018343425,67
98,58.8933164242396,76,72.87596456169182,45
99,59.126327005683635,71,73.07604866536848,70
